2020-10-03 10:05:19,865: Called train.py with args:
Namespace(adversarial_dir='adversarial', attack_name='fgsm', batch_size=50, data_path='data\\\\mnist.pkl', epoch=120, first_n_samples=None, lam=1.0, learning_rate=0.001, method=1, model_name='lenet_standard', momentum=0.8, new_model_name='', paired_data_path='', patience=5, reg_layers=1, reg_object=0, save_dir='models', test_data_only=False, test_only_data_path='', use_dropout=0, use_reg_model=False)
2020-10-03 10:05:19,866: Loading standard dataset
2020-10-03 10:05:20,060: Using device: cuda:0
2020-10-03 10:05:31,052: No previous model found with name 'lenet_standard', training a new one.
2020-10-03 10:05:31,053: Training...
2020-10-03 10:05:42,824: Epoch 0, total train loss: 1839.450439453125
2020-10-03 10:05:42,824: Epoch 0, train accuracy: 0.13285
2020-10-03 10:05:43,233: Best model at epoch 0, model saved.
2020-10-03 10:05:43,252: Epoch 0, total dev loss: 459.16607666015625
2020-10-03 10:05:43,252: Epoch 0, dev accuracy : 0.1265
2020-10-03 10:05:45,802: Epoch 1, total train loss: 1828.7957763671875
2020-10-03 10:05:45,803: Epoch 1, train accuracy: 0.135575
2020-10-03 10:05:46,338: Best model at epoch 1, model saved.
2020-10-03 10:05:46,340: Epoch 1, total dev loss: 453.893798828125
2020-10-03 10:05:46,340: Epoch 1, dev accuracy : 0.2213
2020-10-03 10:05:48,883: Epoch 2, total train loss: 1653.2716064453125
2020-10-03 10:05:48,883: Epoch 2, train accuracy: 0.479025
2020-10-03 10:05:49,245: Best model at epoch 2, model saved.
2020-10-03 10:05:49,247: Epoch 2, total dev loss: 246.19805908203125
2020-10-03 10:05:49,247: Epoch 2, dev accuracy : 0.7123
2020-10-03 10:05:51,824: Epoch 3, total train loss: 499.136962890625
2020-10-03 10:05:51,824: Epoch 3, train accuracy: 0.82045
2020-10-03 10:05:52,243: Best model at epoch 3, model saved.
2020-10-03 10:05:52,245: Epoch 3, total dev loss: 75.59339141845703
2020-10-03 10:05:52,245: Epoch 3, dev accuracy : 0.8885
2020-10-03 10:05:54,810: Epoch 4, total train loss: 283.05145263671875
2020-10-03 10:05:54,810: Epoch 4, train accuracy: 0.8928
2020-10-03 10:05:55,154: Best model at epoch 4, model saved.
2020-10-03 10:05:55,156: Epoch 4, total dev loss: 55.46647262573242
2020-10-03 10:05:55,156: Epoch 4, dev accuracy : 0.9159
2020-10-03 10:05:58,141: Epoch 5, total train loss: 221.80630493164062
2020-10-03 10:05:58,141: Epoch 5, train accuracy: 0.91585
2020-10-03 10:05:58,612: Best model at epoch 5, model saved.
2020-10-03 10:05:58,614: Epoch 5, total dev loss: 44.33784484863281
2020-10-03 10:05:58,614: Epoch 5, dev accuracy : 0.9336
2020-10-03 10:06:01,805: Epoch 6, total train loss: 180.36135864257812
2020-10-03 10:06:01,806: Epoch 6, train accuracy: 0.93215
2020-10-03 10:06:02,342: Best model at epoch 6, model saved.
2020-10-03 10:06:02,344: Epoch 6, total dev loss: 36.85587692260742
2020-10-03 10:06:02,345: Epoch 6, dev accuracy : 0.9463
2020-10-03 10:06:05,323: Epoch 7, total train loss: 149.9263458251953
2020-10-03 10:06:05,323: Epoch 7, train accuracy: 0.94365
2020-10-03 10:06:05,656: Best model at epoch 7, model saved.
2020-10-03 10:06:05,658: Epoch 7, total dev loss: 31.831212997436523
2020-10-03 10:06:05,658: Epoch 7, dev accuracy : 0.9549
2020-10-03 10:06:08,079: Epoch 8, total train loss: 128.22616577148438
2020-10-03 10:06:08,079: Epoch 8, train accuracy: 0.951275
2020-10-03 10:06:08,435: Best model at epoch 8, model saved.
2020-10-03 10:06:08,437: Epoch 8, total dev loss: 28.542795181274414
2020-10-03 10:06:08,437: Epoch 8, dev accuracy : 0.9609
2020-10-03 10:06:11,130: Epoch 9, total train loss: 112.54205322265625
2020-10-03 10:06:11,130: Epoch 9, train accuracy: 0.9567
2020-10-03 10:06:11,470: Best model at epoch 9, model saved.
2020-10-03 10:06:11,472: Epoch 9, total dev loss: 26.256046295166016
2020-10-03 10:06:11,473: Epoch 9, dev accuracy : 0.9633
